OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,Period,GeoEntityName,GeoCode,GeoName,GeoURI,Persons_Number_DeathsAge10AndOver,Persons_DASR_DeathsAge10AndOver,Females_Number_DeathsAge10AndOver,Females_DASR_DeathsAge10AndOver,Males_Number_DeathsAge10AndOver,Males_DASR_DeathsAge10AndOver
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2015-01-01T00:00:00,2017-12-31T23:59:59,,2015-2017,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,25,8.3,8,,17,11.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2015-01-01T00:00:00,2017-12-31T23:59:59,,2015-2017,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,27,10.6,5,,22,18
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2015-01-01T00:00:00,2017-12-31T23:59:59,,2015-2017,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,28,7.4,11,5.5,17,9.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2015-01-01T00:00:00,2017-12-31T23:59:59,,2015-2017,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,25,9.2,5,,20,15.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,199,10.1,50,4.7,149,15.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,21,11.9,4,,17,19.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,45,13,17,9.7,28,16.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,36,13.4,6,,30,22.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,24,7.6,8,,16,10.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,22,8.7,4,,18,15
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,27,7.1,7,,20,11.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2014-01-01T00:00:00,2016-12-31T23:59:59,,2014-2016,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,24,9.1,4,,20,15.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2013-01-01T00:00:00,2015-12-31T23:59:59,,2013-2015,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,201,10.4,51,4.9,150,16.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2013-01-01T00:00:00,2015-12-31T23:59:59,,2013-2015,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,24,13.8,5,,19,22.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2013-01-01T00:00:00,2015-12-31T23:59:59,,2013-2015,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,41,12.1,14,8.3,27,16.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2013-01-01T00:00:00,2015-12-31T23:59:59,,2013-2015,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,35,13.8,7,,28,22.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-01-23T00:00:00,2013-01-01T00:00:00,2015-12-31T23:59:59,,2013-2015,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,27,8.8,8,,19,12.8
