id_usuario,activaToken,logIns, fecha_registro, dg_1, dg_2, dg_3, dg_4, dg_5, dg_6, dg_7,dg_8, fecha_resp_DG
43309,Activo,1,30/01/2024 08:57,2,2,28,3,1,4,4,3,30/01/2024 08:59
43310,Activo,1,30/01/2024 10:23,2,2,39,3,1,4,4,3,30/01/2024 10:28
43311,Activo,1,30/01/2024 11:54,1,2,31,3,1,4,4,3,30/01/2024 11:56
43312,Activo,5,30/01/2024 13:40,1,1,40,4,1,4,4,2,30/01/2024 13:45
43314,Activo,2,30/01/2024 16:56,2,1,27,1,0,5,4,3,30/01/2024 17:04
43316,Activo,1,30/01/2024 18:21,1,2,43,2,1,2,3,3,30/01/2024 18:33
43317,Activo,1,30/01/2024 23:14,2,2,18,1,0,1,3,3,30/01/2024 23:20
43319,Activo,1,31/01/2024 11:09,2,1,63,3,1,3,4,1,31/01/2024 11:13
43321,Activo,1,31/01/2024 12:31,1,2,34,4,1,4,3,3,31/01/2024 12:35
43322,Activo,1,31/01/2024 13:02,2,2,33,2,1,2,3,3,31/01/2024 13:07
43323,Activo,1,31/01/2024 15:31,1,2,28,4,1,5,3,1,31/01/2024 15:34
43324,Activo,1,31/01/2024 15:56,2,1,46,1,0,5,4,3,31/01/2024 15:58
43325,Activo,2,31/01/2024 17:05,1,2,52,4,1,5,3,3,31/01/2024 17:14
43330,Activo,3,31/01/2024 19:03,1,2,29,1,1,1,5,1,31/01/2024 19:05
43281,Activo,1,25/01/2024 09:57,2,2,21,1,0,1,4,3,31/01/2024 22:04
43329,Activo,3,31/01/2024 19:03,1,2,35,1,1,3,4,1,01/02/2024 11:27
43042,Activo,1,01/01/2024 14:10,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43043,Activo,1,01/01/2024 14:54,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43047,Activo,1,02/01/2024 08:16,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43055,Activo,1,03/01/2024 02:19,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43072,Activo,1,05/01/2024 21:36,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43082,Activo,1,07/01/2024 22:56,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43086,Activo,1,08/01/2024 10:21,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43088,Activo,1,08/01/2024 11:10,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43090,Activo,1,08/01/2024 11:23,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43094,Activo,1,08/01/2024 15:19,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43102,Activo,1,08/01/2024 20:27,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43104,Activo,1,09/01/2024 00:52,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43114,Activo,1,09/01/2024 17:24,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43116,Activo,1,09/01/2024 18:57,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43127,Activo,1,10/01/2024 13:50,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43130,Activo,1,10/01/2024 21:30,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43144,Activo,1,13/01/2024 02:45,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
43156,Activo,1,12/01/2024 23:46,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo,noInfo
