anio,mes,lpei,lpi,desagregacion
2004,Sep,708.54,1632.79,Urbano
2004,Oct,513.74,1029.49,Rural
2004,Oct,727.72,1655.98,Urbano
2004,Nov,521.48,1044.56,Rural
2004,Nov,735.85,1677.04,Urbano
2004,Dic,514.85,1039.51,Rural
2004,Dic,731.26,1674.68,Urbano
2005,Ene,492.66,1019.56,Rural
2005,Ene,711.47,1658.58,Urbano
2005,Feb,488.99,1017.21,Rural
2005,Feb,708.65,1657.55,Urbano
2005,Mar,496.68,1026.51,Rural
2005,Mar,717.49,1668.71,Urbano
2005,Abr,517.03,1046.21,Rural
2005,Abr,737.7,1687.49,Urbano
2005,May,528.93,1051.43,Rural
2005,May,749.96,1687.19,Urbano
2005,Jun,514.19,1038.15,Rural
2005,Jun,736.8,1676.35,Urbano
2005,Jul,519,1043.45,Rural
2005,Jul,741.45,1681.75,Urbano
2005,Ago,516.17,1042.25,Rural
2005,Ago,739.63,1683.12,Urbano
2005,Sep,515.36,1045.52,Rural
2005,Sep,740.03,1691.47,Urbano
2005,Oct,509.45,1042.92,Rural
2005,Oct,735.22,1692.24,Urbano
2005,Nov,502.03,1045.28,Rural
2005,Nov,728.94,1703.57,Urbano
2005,Dic,518.62,1063.83,Rural
2005,Dic,745.27,1723.05,Urbano
2006,Ene,531.48,1078.76,Rural
2006,Ene,758.61,1739.79,Urbano
2006,Feb,530.01,1077.6,Rural
2006,Feb,757.38,1739.26,Urbano
2006,Mar,518.11,1067.22,Rural
2006,Mar,746.74,1731.08,Urbano
2006,Abr,517.3,1065.59,Rural
2006,Abr,746.67,1729.13,Urbano
2006,May,521.84,1062.46,Rural
2006,May,751.77,1720.37,Urbano
2006,Jun,515.17,1057.04,Rural
2006,Jun,747.2,1717.91,Urbano
2006,Jul,515.42,1058.27,Rural
2006,Jul,748.01,1720.28,Urbano
2006,Ago,525.95,1070.57,Rural
2006,Ago,757.08,1732.59,Urbano
2006,Sep,558.69,1106.4,Rural
2006,Sep,787.61,1769.3,Urbano
2006,Oct,569.85,1120.7,Rural
2006,Oct,798.96,1785.81,Urbano
2006,Nov,556.39,1116.15,Rural
2006,Nov,788.96,1792.09,Urbano
2006,Dic,570.83,1132.23,Rural
2006,Dic,805.37,1810.6,Urbano
2007,Ene,578.43,1141.56,Rural
2007,Ene,814.85,1823.01,Urbano
2007,Feb,575.02,1139.31,Rural
2007,Feb,813.7,1823.9,Urbano
2007,Mar,575.98,1141.07,Rural
2007,Mar,815.57,1827.05,Urbano
